"Compound","Neutral.mass..Da.","m.z","Charge","Retention.time..min.","Chromatographic.peak.width..min.","Identifications","Anova..p.","q.Value","Max.Fold.Change","Highest.Mean","Lowest.Mean","Isotope.Distribution","Maximum.Abundance","Minimum.CV.","X1A1B_N","X1A2B_N","X1A3B_N","X2A1B_N","X2A2B_N","X2A3B_N","X3A1B_N","X3A2B_N","X3A3B_N","X4A1B_N","X4A2B_N","X4A3B_N","X5A1B_N","X5A2B_N","X5A3B_N","X1F1B_N","X1F2B_N","X1F3B_N","X2F1B_N","X2F2B_N","X2F3B_N","X3F1B_N","X3F2B_N","X3F3B_N","X4F1B_N","X4F2B_N","X4F3B_N","X5F1B_N","X5F2B_N","X5F3B_N","X1P1B_N","X1P2B_N","X1P3B_N","X2P1B_N","X2P2B_N","X2P3B_N","X3P1B_N","X3P2B_N","X3P3B_N","X4P1B_N","X4P2B_N","X4P3B_N","X5P1B_N","X5P2B_N","X5P3B_N","AQC1_N","AQC2_N","AQC3_N","FQC1_N","FQC2_N","FQC3_N","PQC2_N","PQC3_N","PQC4_N","PQC5_N","PQC6_N","PQC7_N","X1A1B_N.1","X1A2B_N.1","X1A3B_N.1","X2A1B_N.1","X2A2B_N.1","X2A3B_N.1","X3A1B_N.1","X3A2B_N.1","X3A3B_N.1","X4A1B_N.1","X4A2B_N.1","X4A3B_N.1","X5A1B_N.1","X5A2B_N.1","X5A3B_N.1","X1F1B_N.1","X1F2B_N.1","X1F3B_N.1","X2F1B_N.1","X2F2B_N.1","X2F3B_N.1","X3F1B_N.1","X3F2B_N.1","X3F3B_N.1","X4F1B_N.1","X4F2B_N.1","X4F3B_N.1","X5F1B_N.1","X5F2B_N.1","X5F3B_N.1","X1P1B_N.1","X1P2B_N.1","X1P3B_N.1","X2P1B_N.1","X2P2B_N.1","X2P3B_N.1","X3P1B_N.1","X3P2B_N.1","X3P3B_N.1","X4P1B_N.1","X4P2B_N.1","X4P3B_N.1","X5P1B_N.1","X5P2B_N.1","X5P3B_N.1","AQC1_N.1","AQC2_N.1","AQC3_N.1","FQC1_N.1","FQC2_N.1","FQC3_N.1","PQC2_N.1","PQC3_N.1","PQC4_N.1","PQC5_N.1","PQC6_N.1","PQC7_N.1","Same.RT","X..500","Accepted.Compound.ID","Accepted.Description","Adducts","Formula","Score","Fragmentation.Score","Mass.Error..ppm.","Isotope.Similarity","Retention.Time.Error..mins.","Compound.Link","Retention_time_rounded"
"7.59_414.2245n",414.2245209,459.2227237,1,7.58885,0.170666666666667,3,0,0,Inf,"CM3果肉","CM3海绵层","100 - 21.8 - 4.86 - 0.518",166032.341535471,2.36,51.3157393607687,0,22.4363373496975,0,17.0206076277996,0,0,0,0,219.363847530726,57.567007665454,18.0658486200347,14.4087577008782,9.73062475045279,210.838479139556,1955.45006170272,2023.772316,2089.94916552378,671.855361128022,1036.02086492637,612.100533630501,284.331311438811,432.988614612842,398.215577023079,2390.25635624477,1793.58863834473,1264.23659029124,2443.93433092812,1293.53515801929,3957.2904719506,11011.4237972267,14597.4461155841,16566.1154418914,137513.313612514,127241.372662129,141968.59478534,259766.672111526,87302.2667997646,151028.085695123,29076.5643834993,32534.0874843404,48561.7631292351,82037.9355518355,43664.8502374188,73419.9863794816,31.8316617745727,45.3957284034295,30.5376954399394,1478.59035221013,1482.42038115596,1541.8770608122,74734.7608520076,75738.9431349559,78525.3408408147,83877.5213434453,84910.5137996109,84788.3161022295,24.824175401207,0,9.79720951223985,0,7.43097043168513,0,0,0,0,109.190288801671,24.3109418905115,8.03204620705037,6.78664502846981,4.41793410654106,97.6875433232846,2789.4289163105,2434.18501700827,2678.34202959276,906.072949631525,1348.56061170198,612.100533630501,287.063356168121,307.042739938592,369.99167595059,2882.7193207085,2530.5278322045,1777.39914720268,3874.70524214851,2159.79367746993,5514.91713259434,4928.33029998472,6163.39119321711,6779.35727004604,73317.107275581,68695.7011745966,75580.3936130686,138705.595369409,42626.4739559995,72771.2558764594,13525.192315901,14609.9537872083,20841.739927814,38831.8009248722,20374.5072360399,34331.7147396784,15.1759808912149,21.9612416659976,15.6235549417882,2356.18912915234,2330.42986678602,2319.45465651511,41685.1149520277,42080.5477147848,43325.0533990876,43117.3347473807,41546.261766851,41515.2882925895,"","",NA,NA,"M-H, M+FA-H, 2M-H",NA,NA,NA,NA,NA,NA,NA,7.59
"1.68_407.0046m/z",NA,407.004643406998,1,1.68205,0.563433333333333,2,0,0,Inf,"CM1果肉","CM1海绵层","100 - 13.1 - 3.46",52340.1022229882,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33573123934781,4.84467488008052,0,0,0,0,0,0,0,0,0,0,0,0,44831.1014333407,52818.739342794,59370.4658928299,35324.8060030602,34628.3466249484,38641.4522688356,38688.2594258295,52003.1645581457,50048.2115347577,47142.7946667647,52743.8814385765,55506.5599458693,47217.8698810411,49675.9720367106,50736.2040045802,0,0,0,0,0,0,34397.1863730444,35019.3992072276,37783.4671507819,44863.2780603847,45905.5588403582,49128.1510486599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41779558637969,6.20861816405949,0,0,0,0,0,0,0,0,0,0,0,0,20064.8417174959,22301.3361600739,24296.1967148179,18833.9043193544,18695.3229295508,20571.7058527989,20658.0698510928,25391.2254621243,24115.1914956215,21928.841240228,23685.4858998735,23822.3081728055,22350.0861032587,23179.3638639789,23724.6146281793,0,0,0,0,0,0,19185.8601223872,19456.7739961334,20846.4008482146,23062.0188461923,22461.3452302987,24054.8397211697,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1.68
"9.95_769.1979m/z",NA,769.197911486216,1,9.95041666666667,0.356533333333335,7,0,0,Inf,"CM3果皮","CM1果肉","100 - 39.1 - 11.5 - 2.17",42533.1876195782,0.28,708.507439279489,356.280037732081,473.960657157858,1821.58226481342,1738.11494185682,2141.28639810955,6524.63053042717,3925.66349868838,5757.70819901107,1758.45812456695,1071.29310457809,1582.66872368151,247.102004305953,468.583179135439,219.500300546262,27756.8247556557,14928.4143156815,16076.2924559179,22978.6474250729,28841.7657190704,34535.3874470936,36352.0780804774,53859.0358289902,37388.448949267,16310.5823448926,15829.20558,14770.3791314688,18339.1611358355,20685.6519408406,14509.328246394,0,0,0,0,0,0,0,0,0.143691351828175,0,0,0,10.815194995795,0,16.4449436782395,2203.90889129206,1984.97340680646,2196.74931857561,21664.7920012336,21788.4994432782,21723.8175073442,0,2.68635063466213,0.543331803680846,0,0,0,342.743048523243,155.397460937455,206.963007658513,886.433238359378,758.837817206525,947.167662620347,3533.38813426568,1885.24981137117,2801.95076398736,875.288032319069,452.414420503791,703.651878548673,116.387104555566,212.747861719523,101.70081479716,39594.8181519758,17955.8353314921,20602.3239584006,30989.3052219187,37542.5539556472,34535.3874470936,36701.3730730572,38192.750047644,34738.5076981322,19671.0410307194,22333.0168446293,20765.7802928208,29075.5945813988,34538.4816169835,20220.3359838358,0,0,0,0,0,0,0,0,0.0692361297105425,0,0,0,5.11925972070599,0,7.68977417611151,1050.7299134142,960.27714986862,1123.89075788654,34523.6578355536,34252.4768955696,32679.2653936701,0,1.49253609017379,0.299774304139793,0,0,0,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,9.95
"7.67_577.1563m/z",NA,577.156311157501,1,7.6674,0.384916666666666,22,0,0,Inf,"CM3果皮","CM3海绵层","100 - 28 - 9.69 - 1.63 - 0.641",40950.1692118827,0.44,154.541305628161,246.026675547811,87.5589291480459,0,16.5583536225628,17.4036149416745,0,0,0,82.4183175999575,0,40.0479161445387,106.464161933032,16.0972498931785,70.5298182342655,28878.7692240656,29379.6345710797,24926.7854083196,22747.7969212809,18393.3862022664,32972.3895552358,36915.1760039728,35310.4556958094,50624.875935866,22347.2175648345,24062.5156261248,28038.9499997255,28072.6089164043,23631.6312090629,21815.8473417711,88.2725450877744,86.8917446394063,25.0814707314893,1598.31585299428,1670.53900464012,1690.62902252022,2017.89175897466,736.43402109096,1297.16807651094,187.621449634796,261.622291502629,317.304771195314,691.040304192042,392.385470806182,730.382212387808,76.5082822103177,93.1628543172156,112.299458856962,25649.2259262091,25675.368683119,25855.1849294463,629.33219608929,660.034464383113,745.274399933638,766.725131456926,903.652111445919,847.67321688007,74.7599182128889,107.308624267529,38.2341003417984,0,7.22915649413613,7.69824218750165,0,0,0,41.0244441032002,0,17.8052368164035,50.1455080509113,7.30853271484739,32.6784973144429,41195.2601187484,35337.7036101935,31944.5363184276,30677.9772055082,23942.1781818668,32972.3895552358,37269.8816166711,25039.5015005551,47036.7905553233,26951.4002838731,33949.1811015037,39420.1577463358,44507.3681205946,39457.3331518787,30402.7695515341,39.5077209472596,36.6877746582014,10.2640991210885,852.163996167277,901.898854612262,900.046993977505,1077.47801342059,359.573545694354,625.026461641766,87.2735910415475,117.485686063786,136.180877566325,327.096718645404,183.091447028632,341.531986086572,36.4758911132607,45.0697021484501,57.4541313648098,40873.0025920782,40362.8058413668,38894.1055054505,351.025207519472,366.715069186874,411.192779660182,394.135921314289,442.152161002137,415.050087022043,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,7.67
"9.92_693.2754m/z",NA,693.27540693737,1,9.92185,0.142999999999999,2,0,0,Inf,"CM5果肉","CM1海绵层","100 - 34.6 - 8.75 - 1.36 - 0.0656",36933.5610582802,5.16,0,0,0,0,24.3759083233309,0,0,0,0,250.630977577163,0,0,20.0004095021862,32.6467607466352,16.2967431325175,35.5633351849559,18.2992617679665,0,8.35012293312536,75.4896716546142,104.447728012712,4.53546684426733,0,0.708487781242487,166.047356478291,51.5221004315657,2.11531806803138,132.007539716817,102.267063192826,212.228803797803,188.278027465385,701.837913230419,880.116699954994,26106.9375048354,15428.2936039737,18550.4368234796,61859.0394078843,12186.8421578364,30709.5893943187,1919.10291129306,3422.29116299913,3183.67588674399,45656.1999796801,20540.1231735784,44604.3600215822,0,0,0,53.8989122832846,53.1714149333089,59.7030443430368,16946.7247251877,16931.100156623,17348.9816770218,18896.65899,18867.460440644,18329.6726275024,0,0,0,0,10.6421966804693,0,0,0,0,124.75377840217,0,0,9.42035965439963,14.8224026174613,7.55075073242438,50.7307230535861,22.0102767812602,0,11.2610852774919,98.262883721905,104.447728012712,4.57904663231156,0,0.658273047810057,200.257985475899,72.6911992685437,2.97394060499012,209.289709494621,170.753577997444,295.764052295506,84.2666965386173,296.332768021123,360.170467799636,13919.2714319461,8329.50340662247,9875.77089801364,33030.3915444803,5950.38512617738,14797.0847765777,892.685793510528,1536.83473562475,1366.37017625138,21610.8859477197,9584.25108419572,20857.3201919694,0,0,0,85.889936320214,83.587796683712,89.811637859532,9452.44435355469,9406.91721476829,9572.01267168627,9713.84893595648,9231.74781620853,8974.84085569117,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,9.92
"2.07_515.1254m/z",NA,515.125428043396,1,2.06696666666667,0.47775,4,0,0,Inf,"CM5果肉","CM1海绵层","100 - 19.4 - 4.41",35467.1749628575,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29469.2793079639,36089.5847926092,37790.0872157624,23404.5610406086,21866.4409637826,22351.8043594563,26490.792946664,31496.5095820219,29068.4540013093,31008.2563477255,35998.9228186497,34941.8893590748,37982.6196918591,33972.0941065258,34446.8110901875,0,0,0,0,0,0,23613.5467121891,24698.0811914791,26109.3235161787,29461.8923550281,30853.5750536566,30332.7175346409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13189.4244383483,15237.8866355369,15464.8507310294,12478.462393739,11805.3622243503,11899.5202706934,14145.083268793,15378.5828778339,14006.3213694741,14423.7340062688,16165.8936653103,14996.3618221651,17978.676773838,15851.7588731745,16107.5771102351,0,0,0,0,0,0,13171.0250745552,13722.2509454584,14405.3858721304,15144.9190989036,15096.489801576,14851.9462472871,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,2.07
"8.69_456.2355n",456.235516113541,501.233833511553,1,8.68715,0.257216666666668,1,0,0,Inf,"CM3果肉","CM1海绵层","100 - 24 - 8.25 - 0.349",34275.5807654853,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4064055941697,503.547818256581,378.248748159701,361.718088831414,253.366897575433,280.89672591741,121.008670473271,39.7523778625176,28.9500667702316,21.8504393538051,526.92611971395,484.04330302089,257.712085482302,911.914676392643,430.462789927605,1243.36902286514,4076.846602,5926.26515321135,7312.43514801779,19956.1761992303,14637.5668612552,19754.8179627549,51922.3846383752,17815.3933616098,33088.9642964708,9630.66584300929,10685.3209814874,19382.7644860299,23646.0328645777,15783.5102802031,20274.6166590079,0,0,0,443.597351274454,394.3329207,351.119261747594,16486.7182514547,16374.5120619827,16686.5917047749,18042.5789325308,18126.2615214076,17395.1078350559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74824523925963,718.305658885962,454.956038376042,463.554222352745,341.693920310054,365.635744754218,121.008670473271,40.1343452014901,20.5291952779985,20.3017690498393,635.488365888824,682.924180104634,362.319240304968,1445.78376443891,718.736407207759,1732.77073667936,1824.65474108863,2502.21101449914,2992.47041687853,10639.9087679044,7902.60194452658,10516.9521445014,27724.5930577779,8698.59889075178,15943.5609371778,4479.77986459771,4798.41476470364,8318.69583122089,11192.6029669542,7364.76233550732,9480.55686084842,0,0,0,706.889000886097,619.908649136951,528.190753563458,9195.86465064763,9097.67693619383,9206.54999923775,9274.80811401877,8869.08313615988,8517.24565189283,"","",NA,NA,"M-H, M+FA-H",NA,NA,NA,NA,NA,NA,NA,8.69
"10.61_809.2143m/z",NA,809.214264306351,1,10.6063833333333,0.263733333333333,2,0,0,Inf,"CM3果皮","CM1海绵层","100 - 37.9 - 11.6 - 1.78 - 0.197",33988.4125931078,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8301.510522,11718.8365659337,12504.1477404991,12010.7781162116,16272.5672852537,11039.1026449511,33441.7065040412,38159.5057008113,30364.025574471,14231.3846851585,12633.4461197939,11803.6006,7712.14451843285,11598.9637252355,8379.94196217774,3494.32765597839,3372.50640091646,5251.5618923633,4788.59458478924,7815.75169995025,7276.98838540218,5723.63751642679,11479.2931225283,7202.17783475648,6131.32661667757,5281.43765507859,3865.75736450501,2579.01203379462,5451.27149076791,2108.66111484064,0,0,0,13656.2153410731,13321.362813001,13595.4916345023,4622.57958523951,4842.39375343308,4916.30554097617,5454.87204980601,5293.25150424541,5181.45705252299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11842.01732,14095.3684165597,16024.4971457106,16197.8928572573,21181.5650003562,11039.1026449511,33763.0367069343,27059.8320363592,28211.9468929113,17163.4676277126,17824.2024616627,16594.7654132317,12227.123460568,19366.5926771764,11678.3657466975,1563.93952155126,1423.95293573208,2149.09852698847,2553.10481326596,4219.60665781492,3874.07966753518,3056.20633679218,5604.91505269891,3470.29179154691,2852.03473658075,2371.71428606565,1659.10593897981,1220.7484404076,2543.62421559595,986.025133581237,0,0,0,21761.6908455433,20941.7666947498,20451.777369752,2578.35522839476,2690.43338817161,2712.4899785002,2804.08314895915,2589.95974411552,2537.02034902786,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,10.61
"1.67_405.0283m/z",NA,405.028299585227,1,1.66778333333333,0.492733333333333,2,0,0,Inf,"CM1果肉","CM1果皮","100 - 14",26538.0413309078,0.74,87.2595153430119,63.3071529587137,97.272511240675,14.6590609629077,80.1643276956936,31.5904214846358,0,32.0478514550571,26.2196377213957,85.4476486031198,86.7150160295457,85.9921640772286,35.71060244,156.380241977652,14.7267384958734,0,0,0,0,0,0,0,0,0,0,0,0.639242377052679,0,1.38082057999898,0,21615.2615342323,26975.8650447065,31022.9974137846,17793.6631415008,17739.1436509655,20698.0528433239,18264.3885692231,26520.9572135607,25657.2220709091,22821.3166658453,27121.3317181055,28914.6507482132,22646.5668978156,25980.3958748698,26278.5531132839,55.0596658083855,0,71.3078787437384,0,0,0,15948.2383559123,16471.7222263878,18152.3390416683,22255.1188801915,23243.5617027006,25658.006861693,42.2121076551276,27.6124671244172,42.4757016955555,7.13351196465936,34.9986770043196,13.9735748124167,0,15.3905717926878,12.7596139654237,42.5323203135899,36.6203455976078,38.2319729252349,16.819991530308,71.0003337236967,6.8233223399135,0,0,0,0,0,0,0,0,0,0,0,0.898715370647118,0,2.30553266365698,0,9674.23925578822,11389.8559877852,12695.5521826152,9486.93530174851,9577.09655157362,11019.105903583,9752.49392063914,12949.2043379001,12362.6560173077,10615.5147058157,12179.2689971646,12409.5912538034,10719.5161786113,12122.74314,12288.0408148493,26.2501041290972,0,36.4822081458737,0,0,0,8895.51450448889,9151.68689186909,10015.2517630315,11440.2690402696,11372.9508359044,12563.0464295589,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1.67
"1.66_391.0326m/z",NA,391.03263334063,1,1.66063333333333,0.364183333333333,0,0,0,Inf,"CM1果肉","CM1海绵层","100 - 12.2 - 2.34",26142.0957391194,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11208.7908902625,44018.4870623373,23199.0092647583,10483.6213233678,5936.36304253935,12003.7971939079,10664.2779035401,35346.3620423008,11977.3795458487,33158.5732908638,12565.93086,13578.378244813,11545.870634682,24587.1704043724,11123.3146779623,0,0,0,0,0,0,15875.9182009876,15873.977904303,14403.7173089703,13622.7885676688,8924.07676807081,21056.9061851587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5016.66494614312,18585.6589810672,9493.73875055816,5589.48634870205,3204.95302040684,6390.50994439158,5694.32176873061,17258.3237098665,5771.17128677592,15423.9708228506,5642.93279104945,5827.56905400558,5465.11741152982,11472.6485627183,5201.34210471882,0,0,0,0,0,0,8855.17619421645,8819.5802182664,7947.01194384561,7002.80987631817,4366.50319074436,10310.188608686,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1.66
